Id	idConcept	N1	N2	N3	N4	N5	N6	N7	N8	UF1	UF2	UF3	UF4	UF5	UF6	UF7	RT1	RT2	RT3	RT4	RT5	RT6	RT7	RT8	RT9	RT10	RT11	RT12	RT13	RT14	RT15	RT16	LANG1	LANG2	LANG3	LANG4	LANG5	LANG6	NOTE1	NOTE2	
1	166323	événements historiques																															historical events(en)						Terme de regroupement : ne pas utiliser.	
2	177636		batailles																																				Terme de regroupement : ne pas utiliser. (ES)	
3	177596			Bataille de Marathon																													Batalla de Maratón(es)	Battaglia di Maratona(it)	Battle of Marathon(en)	Schlacht bei Marathon(de)				
4	177671			Bataille de Poitiers (732)																													Batalla de Poitiers (732)(es)	Battaglia di Poitiers (732)(it)	Battle of Tours(en)	Schlacht von Tours und Poitiers(de)	Slag bij Poitiers (732)(nl)	معركة بلاط الشهداء(ar)	La bataille de Poitiers appelée dans des sources arabes «bataille du Pavé des Martyrs» (arabe : معركة بلاط الشهداء) ou bataille de Tours pour les Anglo-Saxons, a lieu entre, d'une part, les Francs et les Burgondes dirigés par Charles Martel alliés aux Vascons eux-mêmes dirigés par Eudes, et d'autre part une armée omeyyade menée par Abd al-Rahman, gouverneur général d'al-Andalus. Elle s'est déroulée entre les villes de Poitiers et Tours, au nord de l'Aquitaine, près du village de Vouneuil-sur-Vienne. L'emplacement de la bataille était alors proche de la frontière entre le Royaume franc et celui d'Aquitaine, alors indépendant. (Wikipédia)	
5	177602			Bataille de Teutobourg						bataille de Teutberg	bataille du Teutoburger Wald	clades Variana																					Batalla del bosque de Teutoburgo(es)	Battaglia della foresta di Teutoburgo(it)	Battle of the Teutoburg Forest(en)	Slag bij het Teutoburgerwoud(nl)	Varusschlacht(de)		La bataille de Teutobourg désigne la destruction de trois légions de l'Empire romain commandées par Publius Quinctilius Varus en l'an 9 par une alliance de tribus germaniques menée par le chef chérusque Arminius, dans le cadre de la conquête de la Germanie sous le Principat d'Auguste. Les circonstances de la destruction des trois légions, ainsi que la localisation de l'événement, sont mal connues et donnent lieu à des querelles d'experts. (Wikipédia)	
6	177598			Bataille des Thermopyles																													Batalla de las Termópilas(es)	Battaglia delle Termopili(it)	Battle of Thermopylae(en)	Schlacht bei den Thermopylen(de)	Slag bij Thermopylae(nl)			
7	3248		Chute de l'Empire romain														Empire romain d'Occident																caduta dell'Impero romano(it)	caída del Imperio romano(es)	fall of the Roman Empire(en)	Untergang des Römischen Reiches(de)	val van het Romeinse Rijk(nl)	سقوط الإمبراطورية الرومانية(ar)		
8	166486		Commune de Paris																														Comuna de París(es)	Comune di Parigi(it)	Paris Commune(en)	Pariser Kommune(de)				
9	177600		conciles														concile																						Terme de regroupement : ne pas utiliser. (ES)	
10	18333			Concile d'Ephèse																													Concilie van Ephese(nl)	Concilio de Efeso(es)	Concilio di Efeso(it)	Council of Ephesus(en)	Konzil von Ephesos(de)	مجمع أفسس(ar)	Troisième concile œcuménique de l'histoire du christianisme, est convoqué en 430 par l'empereur romain de Constantinople Théodose II. Le concile condamne le 22 juin 431 le nestorianisme comme hérésie. (Wikipédia)	
11	18334			Concile de Chalcédoine																													Concilie van Chalcedon(nl)	Concilio de Calcedonia(es)	Concilio di Calcedonia(it)	Council of Chalcedon(en)	Konzil von Chalcedon(de)	مجمع خلقيدونية(ar)	Quatrième concile œcuménique de l'histoire du christianisme, convoqué par l'empereur byzantin Marcien à partir du 8 octobre 451. Ce concile condamne le monophysisme et redéfinit la notion d'hypostase. (ES d'après Wikipédia)	
12	18335			Concile de Nicée																													Concilie van Nicea(nl)	Concilio de Nicea(es)	Concilio di Nicea(it)	Council of Nicaea(en)	Konzil von Nicäa(de)	مجمع نيقية(ar)		
13	150789				Deuxième Concile de Nicée																												Second Council of Nicaea(en)	مجمع نيقيا الثاني(ar)					Concile œcuménique qui eut lieu en 787. Convoqué par l'impératrice Irène, il avait pour objectif de mettre un terme au conflit politico-religieux provoqué par l'iconoclasme. Le concile a affirmé la nécessité de vénérer les images et les reliques : l'honneur n'est pas rendu aux images, ni aux reliques mais, à travers elles, à la personne qu'elles représentent. (Wikipédia)	
14	150787				Premier Concile de Nicée					Concilium Nicaenum Primum																							First Council of Nicaea(en)	مجمع نيقيا الأول(ar)					Concile général des évêques de l'Empire romain convoqué par Constantin 1er qui se tint à Nicée  du 20 mai au 25 juillet 325. C'est lors de ce concile que l'arianisme est condamné et le  symbole de Nicée  adopté. (ES)	
